***************
Date: Sun Jun 28 19:43:38 2015
Seed: 273866375362552238070497088940791277197
ID: 005
CONDS: rbp / r

SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
005,STUDY0,rbp,NULL,NULL,0.001934,-1.000000,-1.000000,2.201402,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,2.201909,-1.000000,-1.000000,4.401405,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,4.401861,-1.000000,-1.000000,6.601407,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,6.601915,-1.000000,-1.000000,8.801410,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,8.801903,-1.000000,-1.000000,11.001413,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,Y,porch,11.030224,11.280224,12.030224,11.280224,12.030224,14.530224,NONE,NONE,-1,-1.000
005,STUDY0,rbp,Y,victory,14.530834,14.780835,15.530834,14.780834,15.530834,18.030834,NONE,NONE,-1,-1.000
005,STUDY0,rbp,P,kingdom,18.031396,18.281397,19.031396,18.281396,19.031396,21.531396,NONE,NONE,-1,-1.000
005,STUDY0,rbp,Y,evening,21.531977,21.781977,22.531978,21.781977,22.531977,25.031977,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,25.032496,-1.000000,-1.000000,27.232021,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,27.232502,-1.000000,-1.000000,29.432024,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,29.432492,-1.000000,-1.000000,31.632028,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,Y,pebble,31.658683,31.908683,32.658683,31.908683,32.658683,35.158683,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,35.159158,-1.000000,-1.000000,37.358703,-1.000000,-1.000000,NONE,NONE,-1,-1.000
005,STUDY0,rbp,P,quarrel,37.388554,37.638554,38.388554,37.638554,38.388554,40.888554,NONE,NONE,-1,-1.000
005,STUDY0,rbp,NULL,NULL,40.889033,-1.000000,-1.000000,43.088587,-1.000000,-1.000000,NONE,NONE,-1,-1.000
