***************
Date: Sun Jul  5 13:00:54 2015
Seed: 210790080768351264643034983675006225721
ID: 007
CONDS: rbp / r

SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
007,STUDY0,rbp,NULL,NULL,0.003306,-1.000000,-1.000000,2.202512,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,2.202972,-1.000000,-1.000000,4.402515,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,4.402987,-1.000000,-1.000000,6.602518,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,6.602987,-1.000000,-1.000000,8.802521,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,8.802985,-1.000000,-1.000000,11.002523,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,avenue,11.026810,11.276810,12.026810,11.276810,12.026810,14.526810,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,capital,14.527371,14.777371,15.527371,14.777371,15.527371,18.027371,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,school,18.027955,18.277955,19.027955,18.277955,19.027955,21.527955,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,record,21.528533,21.778533,22.528533,21.778533,22.528533,25.028533,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,25.029019,-1.000000,-1.000000,27.228572,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,27.229042,-1.000000,-1.000000,29.428575,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,29.429038,-1.000000,-1.000000,31.628578,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,department,31.653378,31.903378,32.653379,31.903378,32.653378,35.153378,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,35.153855,-1.000000,-1.000000,37.353408,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,station,37.378523,37.628523,38.378523,37.628523,38.378523,40.878523,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,40.879004,-1.000000,-1.000000,43.078569,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,queen,43.104504,43.354504,44.104504,43.354504,44.104504,46.604504,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,distance,46.605081,46.855081,47.605081,46.855081,47.605081,50.105081,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,shadow,50.105660,50.355660,51.105660,50.355660,51.105660,53.605660,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,53.606143,-1.000000,-1.000000,55.805698,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,justice,55.835151,56.085151,56.835151,56.085151,56.835151,59.335151,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,59.335629,-1.000000,-1.000000,61.535186,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,kingdom,61.561269,61.811269,62.561269,61.811269,62.561269,65.061269,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,travel,65.061833,65.311833,66.061841,65.311833,66.061833,68.561833,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,68.562329,-1.000000,-1.000000,70.761869,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,river,70.788454,71.038454,71.788454,71.038454,71.788454,74.288454,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,74.289111,-1.000000,-1.000000,76.488507,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,ticket,76.514401,76.764401,77.514401,76.764401,77.514401,80.014401,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,furniture,80.014978,80.264978,81.014978,80.264978,81.014978,83.514978,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,clothes,83.515619,83.765620,84.515619,83.765619,84.515619,87.015619,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,forest,87.016176,87.266176,88.016176,87.266176,88.016176,90.516176,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,90.516639,-1.000000,-1.000000,92.716200,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,92.716657,-1.000000,-1.000000,94.916202,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,94.916676,-1.000000,-1.000000,97.116206,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,steam,97.139954,97.389954,98.139954,97.389954,98.139954,100.639954,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,vacation,100.640561,100.890561,101.640562,100.890561,101.640561,104.140561,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,border,104.141125,104.391125,105.141125,104.391125,105.141125,107.641125,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,nephew,107.641743,107.891743,108.641743,107.891743,108.641743,111.141743,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,journey,111.142310,111.392310,112.142312,111.392310,112.142310,114.642310,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,114.642809,-1.000000,-1.000000,116.842341,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,Y,gravity,116.866649,117.116649,117.866649,117.116649,117.866649,120.366649,NONE,NONE,-1,-1.000
007,STUDY0,rbp,P,wagon,120.367222,120.617222,121.367222,120.617222,121.367222,123.867222,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,123.867695,-1.000000,-1.000000,126.067260,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,126.067730,-1.000000,-1.000000,128.267263,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,winter,128.290838,128.540838,129.290838,128.540838,129.290838,131.790838,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,131.791325,-1.000000,-1.000000,133.990872,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,factory,134.021376,134.271376,135.021376,134.271376,135.021376,137.521376,NONE,NONE,-1,-1.000
007,STUDY0,rbp,NULL,NULL,137.521848,-1.000000,-1.000000,139.721402,-1.000000,-1.000000,NONE,NONE,-1,-1.000
007,STUDY0,rbp,S,pocket,139.747914,139.997914,140.747915,139.997914,140.747914,143.247914,NONE,NONE,-1,-1.000
