***************
Date: Sun Jul  5 14:05:38 2015
Seed: 214332180824980715170686027447001102084
ID: 008
CONDS: rbp / l

SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
008,STUDY0,rbp,NULL,NULL,0.001754,-1.000000,-1.000000,2.201242,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,2.201703,-1.000000,-1.000000,4.401245,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,4.401713,-1.000000,-1.000000,6.601249,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,6.601720,-1.000000,-1.000000,8.801252,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,8.801727,-1.000000,-1.000000,11.001256,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,clothes,11.030940,11.280940,12.030940,11.280940,12.030940,14.530940,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,wagon,14.531519,14.781519,15.531519,14.781519,15.531519,18.031519,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,reward,18.032109,18.282109,19.032109,18.282109,19.032109,21.532109,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,turnip,21.532701,21.782701,22.532702,21.782701,22.532701,25.032701,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,dinner,25.033259,25.283259,26.033259,25.283259,26.033259,28.533259,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,28.533744,-1.000000,-1.000000,30.733288,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,30.733743,-1.000000,-1.000000,32.933291,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,village,32.961341,33.211341,33.961342,33.211341,33.961341,36.461341,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,pocket,36.461888,36.711888,37.461888,36.711888,37.461888,39.961888,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,wheat,39.962448,40.212448,40.962448,40.212448,40.962448,43.462448,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,43.462942,-1.000000,-1.000000,45.662481,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,travel,45.686222,45.936222,46.686223,45.936222,46.686222,49.186222,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,language,49.186794,49.436795,50.186794,49.436794,50.186794,52.686794,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,52.687295,-1.000000,-1.000000,54.886825,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,minute,54.915593,55.165593,55.915593,55.165593,55.915593,58.415593,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,58.416068,-1.000000,-1.000000,60.615614,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,harbor,60.643631,60.893631,61.643631,60.893631,61.643631,64.143631,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,uniform,64.144261,64.394261,65.144261,64.394261,65.144261,67.644261,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,education,67.644841,67.894841,68.644841,67.894841,68.644841,71.144841,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,71.145308,-1.000000,-1.000000,73.344865,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,73.345327,-1.000000,-1.000000,75.544868,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,75.545329,-1.000000,-1.000000,77.744871,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,market,77.773829,78.023829,78.773829,78.023829,78.773829,81.273829,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,ticket,81.274447,81.524448,82.274447,81.524447,82.274447,84.774447,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,84.774935,-1.000000,-1.000000,86.974468,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,86.974959,-1.000000,-1.000000,89.174471,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,89.174951,-1.000000,-1.000000,91.374484,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,distance,91.402137,91.652138,92.402137,91.652137,92.402137,94.902137,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,ocean,94.902699,95.152700,95.902699,95.152699,95.902699,98.402699,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,guardian,98.403272,98.653272,99.403272,98.653272,99.403272,101.903272,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,101.903934,-1.000000,-1.000000,104.103477,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,century,104.134483,104.384483,105.134483,104.384483,105.134483,107.634483,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,engine,107.635041,107.885041,108.635041,107.885041,108.635041,111.135041,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,111.135527,-1.000000,-1.000000,113.335066,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,office,113.362127,113.612127,114.362127,113.612127,114.362127,116.862127,NONE,NONE,-1,-1.000
008,STUDY0,rbp,Y,evening,116.862738,117.112738,117.862738,117.112738,117.862738,120.362738,NONE,NONE,-1,-1.000
008,STUDY0,rbp,S,fashion,120.363304,120.613304,121.363304,120.613304,121.363304,123.863304,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,123.863792,-1.000000,-1.000000,126.063334,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,126.063829,-1.000000,-1.000000,128.263337,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,NULL,NULL,128.263796,-1.000000,-1.000000,130.463341,-1.000000,-1.000000,NONE,NONE,-1,-1.000
008,STUDY0,rbp,P,whisper,130.490379,130.740379,131.490379,130.740379,131.490379,133.990379,NONE,NONE,-1,-1.000
