***************,,,,,,,,,,,,,,
Date: Fri Jun 19 20:38:42 2015,,,,,,,,,,,,,,
Seed: 100301973842220852688042999910286945997,,,,,,,,,,,,,,
ID: kyle,,,,,,,,,,,,,,
CONDS: rbp / r,,,,,,,,,,,,,,
SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
kyle,STUDY0,rbp,NULL,NULL,0.003147,-1,-1,2.202325,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,2.20279,-1,-1,4.402328,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,4.402792,-1,-1,6.602336,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,6.602799,-1,-1,8.80234,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,8.80281,-1,-1,11.002342,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,valley,11.036456,11.286457,12.036456,11.286456,12.036456,14.536456,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,summer,14.537051,14.787051,15.537051,14.787051,15.537051,18.037051,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,plate,18.03761,18.28761,19.03761,18.28761,19.03761,21.53761,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,ocean,21.538181,21.788181,22.538181,21.788181,22.538181,25.038181,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,guardian,25.038757,25.288757,26.038757,25.288757,26.038757,28.538757,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,28.539222,-1,-1,30.73878,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,30.739242,-1,-1,32.938783,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,kingdom,32.969175,33.219175,33.969175,33.219175,33.969175,36.469175,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,minute,36.469751,36.719751,37.469751,36.719751,37.469751,39.969751,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,record,39.970323,40.220323,40.970323,40.220323,40.970323,43.470323,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,43.470795,-1,-1,45.670343,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,island,45.698818,45.948819,46.698818,45.948818,46.698818,49.198818,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,answer,49.199377,49.449377,50.199377,49.449377,50.199377,52.699377,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,52.69989,-1,-1,54.899401,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,invention,54.93468,55.18468,55.93468,55.18468,55.93468,58.43468,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,58.435143,-1,-1,60.634707,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,station,60.661779,60.91178,61.661779,60.911779,61.661779,64.161779,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,trousers,64.16235,64.41235,65.16235,64.41235,65.16235,67.66235,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,school,67.66291,67.91291,68.66291,67.91291,68.66291,71.16291,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,71.163374,-1,-1,73.362933,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,73.36341,-1,-1,75.562936,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,75.563404,-1,-1,77.762938,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,invitation,77.798032,78.048033,78.798032,78.048032,78.798032,81.298032,NONE,NONE,-1,-1
kyle,STUDY0,rbp,S,stream,81.298582,81.548582,82.298582,81.548582,82.298582,84.798582,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,84.799047,-1,-1,86.998604,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,86.999069,-1,-1,89.198607,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,89.199063,-1,-1,91.39861,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,century,91.428043,91.678044,92.428043,91.678043,92.428043,94.928043,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,river,94.928604,95.178604,95.928604,95.178604,95.928604,98.428604,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,ticket,98.429172,98.679172,99.429172,98.679172,99.429172,101.929172,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,101.929651,-1,-1,104.129194,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,Y,whisper,104.159651,104.409651,105.159651,104.409651,105.159651,107.659651,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,uncle,107.660544,107.910544,108.660544,107.910544,108.660544,111.160544,NONE,NONE,-1,-1
kyle,STUDY0,rbp,NULL,NULL,111.160996,-1,-1,113.36056,-1,-1,NONE,NONE,-1,-1
kyle,STUDY0,rbp,P,garden,113.391253,113.641253,114.391253,113.641253,114.391253,116.891253,NONE,NONE,-1,-1
