colour,word,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,date,frameRate,expName,session,participant,
,,,,,,,,right,1.79398703575,,,,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,blue,0,right,0,0,0,5,,,None,0,,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,yellow,1,left,0,1,1,7,,,right,0,0.965892076492,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,yellow,0,right,0,2,2,6,,,left,0,1.38315010071,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,green,0,right,0,3,3,2,,,right,1,0.767441987991,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,red,1,left,0,4,4,0,,,right,0,0.51514005661,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,green,0,right,0,5,5,3,,,left,0,0.799997091293,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,red,0,right,0,6,6,1,,,left,0,0.817191123962,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,blue,0,right,0,7,7,4,,,right,1,0.734187841415,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,red,1,left,1,0,8,0,,,left,1,0.582844018936,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,blue,0,right,1,1,9,4,,,left,0,0.100839853287,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,green,0,right,1,2,10,2,,,left,0,0.250313997269,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,yellow,0,right,1,3,11,6,,,right,1,0.583923101425,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,red,0,right,1,4,12,1,,,left,0,0.634648084641,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,blue,0,right,1,5,13,5,,,left,0,0.367818832397,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,green,0,right,1,6,14,3,,,left,0,0.132989883423,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,yellow,1,left,1,7,15,7,,,left,1,0.283545970917,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,red,1,left,2,0,16,0,,,right,0,0.265780210495,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,blue,0,right,2,1,17,4,,,left,0,0.467585086823,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,green,0,right,2,2,18,2,,,right,1,0.551004171371,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,red,0,right,2,3,19,1,,,left,0,0.634246826172,2015_Jun_22_2250,59.964630009,stroop,001,222,
yellow,yellow,1,left,2,4,20,7,,,left,1,0.467039823532,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,green,0,right,2,5,21,3,,,left,0,0.750029087067,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,yellow,0,right,2,6,22,6,,,left,0,0.683060884476,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,blue,0,right,2,7,23,5,,,left,0,0.583334922791,2015_Jun_22_2250,59.964630009,stroop,001,222,
blue,green,0,right,3,0,24,3,,,left,0,0.56752705574,2015_Jun_22_2250,59.964630009,stroop,001,222,
green,blue,0,right,3,1,25,5,,,left,0,0.267910003662,2015_Jun_22_2250,59.964630009,stroop,001,222,
red,green,0,right,3,2,26,2,,,right,1,0.267934083939,2015_Jun_22_2250,59.964630009,stroop,001,222,
